Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Public Relations,Group D,Part Time,Single,40,Los Angeles,00:00.0,Active,2,16,2 Years,1 Year,Doctor,Low,Medium,Outstanding,High,Better,Fuller,Female,81866,Other,1824
Customer Relations,Group B,Part Time,Married,28,Los Angeles,00:00.0,Active,8,15,2 Years,1 Year,Masters,High,Very High,Good,Low,Best,Gould,Male,109437,Other,1827
Sales and Marketing,Group B,Part Time,Single,37,Los Angeles,00:00.0,Active,7,5,2 Years,1 Year,Bachelor,Very High,Low,Good,Low,Bad,Price,Female,119739,Other,1836
Payroll,Group B,Part Time,Single,63,Seattle,00:00.0,Non Active,9,16,2 Years,1 Year,Bachelor,Medium,Medium,Excellent,Low,Best,Craft,Female,76553,Other,1838
Public Relations,Group A,Full Time,Divorced,28,New York City,00:00.0,Active,8,17,2 Years,1 Year,Bachelor,Medium,Medium,Outstanding,Medium,Good,Hart,Female,87348,Other,1849
Research and Development,Group C,Part Time,Married,44,Seattle,00:00.0,Non Active,6,17,2 Years,1 Year,College,Medium,Low,Good,Very High,Best,Fischer,Female,80091,Other,1860
Tech Support,Group D,Part Time,Divorced,25,New York City,00:00.0,Active,12,13,2 Years,1 Year,Doctor,Very High,Medium,Low,Low,Better,Hernandez,Female,91656,Other,1881
Customer Relations,Group A,Full Time,Married,52,Houston,00:00.0,Active,2,15,2 Years,1 Year,Doctor,Very High,High,Good,Low,Good,Holcomb,Male,101628,Other,1941
Media Relations,Group C,Part Time,Divorced,26,Los Angeles,00:00.0,Non Active,6,20,2 Years,1 Year,Doctor,Very High,Medium,Low,Medium,Better,Walker,Male,102224,Other,1951
Public Relations,Group B,Full Time,Married,43,Seattle,00:00.0,Non Active,6,12,2 Years,1 Year,Doctor,Low,Very High,Low,Medium,Good,Holder,Male,82050,Other,1958
Tech Support,Group A,Part Time,Divorced,61,New York City,00:00.0,Non Active,6,10,2 Years,1 Year,Bachelor,Medium,Medium,Outstanding,Medium,Good,Cooper,Female,88319,Other,1974
Research and Development,Group C,Part Time,Married,29,Seattle,00:00.0,Active,7,13,2 Years,1 Year,Masters,Low,Very High,Excellent,Low,Good,Bailey,Female,95540,Other,1999
Asset Management,Group B,Full Time,Single,37,Houston,00:00.0,Active,5,13,2 Years,1 Year,Masters,Low,Low,Excellent,Low,Better,Paul,Female,87315,Other,2017
Public Relations,Group A,Full Time,Married,25,Houston,00:00.0,Active,8,16,2 Years,1 Year,Bachelor,High,Very High,Good,Medium,Best,House,Male,78263,Other,2027
Quality Assurance,Group C,Full Time,Married,25,New York City,00:00.0,Active,12,11,2 Years,1 Year,Bachelor,Very High,High,Excellent,High,Good,Emerson,Male,108404,Other,2031
Customer Service,Group A,Part Time,Married,29,Seattle,00:00.0,Active,12,16,2 Years,1 Year,Masters,Medium,Medium,Low,Low,Better,Black,Female,100504,Other,2038
Accounting,Group C,Full Time,Divorced,46,Seattle,00:00.0,Non Active,1,10,2 Years,1 Year,Doctor,Low,Low,Outstanding,Low,Bad,Craft,Female,114265,Other,2059
Media Relations,Group B,Full Time,Single,51,Houston,00:00.0,Non Active,6,9,2 Years,1 Year,Bachelor,Low,Very High,Low,High,Good,Mcknight,Male,72813,Other,2060
Sales and Marketing,Group C,Full Time,Single,52,Houston,00:00.0,Active,4,12,2 Years,1 Year,Masters,Medium,Medium,Excellent,High,Best,Oneil,Female,109112,Other,2070
Human Resources,Group A,Part Time,Single,26,Houston,00:00.0,Active,11,19,2 Years,1 Year,College,Very High,Medium,Low,Medium,Bad,Williamson,Male,87933,Other,2093
Payroll,Group C,Part Time,Single,51,New York City,00:00.0,Non Active,11,8,2 Years,1 Year,Masters,High,Medium,Good,High,Bad,Walker,Male,117293,Other,2107
Payroll,Group C,Full Time,Divorced,55,Seattle,00:00.0,Non Active,2,14,2 Years,1 Year,Bachelor,Low,High,Good,High,Better,Guerrero,Male,84400,Other,2133
Quality Assurance,Group B,Part Time,Married,32,Houston,00:00.0,Non Active,5,11,2 Years,1 Year,Masters,Medium,Medium,Low,Medium,Better,Mcneil,Male,109417,Other,2222
Quality Assurance,Group A,Full Time,Divorced,32,New York City,00:00.0,Active,2,12,2 Years,1 Year,Doctor,Very High,Very High,Low,Very High,Good,Hancock,Female,119168,Other,2257
Asset Management,Group C,Full Time,Single,36,Houston,00:00.0,Active,6,6,2 Years,1 Year,College,High,Medium,Low,Medium,Good,Haney,Female,92817,Other,2268
Legal Department,Group A,Part Time,Single,42,Los Angeles,00:00.0,Active,9,18,2 Years,1 Year,Doctor,Medium,Low,Low,High,Bad,Brooks,Female,107561,Other,2276
Finances,Group D,Full Time,Divorced,42,Los Angeles,00:00.0,Active,11,6,2 Years,1 Year,Masters,Medium,Very High,Excellent,High,Bad,Kirk,Male,97396,Other,2280
Legal Department,Group A,Full Time,Single,53,New York City,00:00.0,Active,8,5,2 Years,1 Year,College,Medium,Very High,Excellent,Low,Good,Browning,Female,92271,Other,2296
Finances,Group D,Full Time,Divorced,30,Houston,00:00.0,Non Active,2,19,2 Years,1 Year,Masters,High,Medium,Excellent,Medium,Good,Small,Female,92772,Other,2331
Tech Support,Group C,Full Time,Single,32,Los Angeles,00:00.0,Non Active,6,9,2 Years,1 Year,Masters,Medium,Very High,Outstanding,Very High,Better,Wilkerson,Female,87172,Other,2360
Finances,Group C,Full Time,Divorced,43,Los Angeles,00:00.0,Active,9,16,2 Years,1 Year,Masters,Very High,Low,Outstanding,Low,Good,Thornton,Male,93612,Other,2369
Human Resources,Group C,Part Time,Divorced,38,Houston,00:00.0,Non Active,1,8,2 Years,1 Year,Bachelor,Very High,High,Excellent,Low,Good,Pace,Male,113760,Other,2439
Payroll,Group B,Full Time,Married,49,Seattle,00:00.0,Non Active,9,14,2 Years,1 Year,College,High,Medium,Excellent,Medium,Better,Cohen,Female,102886,Other,2467
Asset Management,Group A,Full Time,Married,57,Los Angeles,00:00.0,Active,6,7,2 Years,1 Year,Doctor,High,High,Excellent,High,Best,Day,Male,116758,Other,2474
Tech Support,Group C,Part Time,Divorced,63,New York City,00:00.0,Non Active,1,11,2 Years,1 Year,Masters,Low,Very High,Good,Very High,Bad,Ellis,Male,86638,Other,2508
Customer Relations,Group B,Full Time,Married,34,New York City,00:00.0,Non Active,9,5,2 Years,1 Year,Masters,Medium,Very High,Good,Medium,Bad,Odom,Female,105910,Other,2516
Customer Relations,Group D,Full Time,Divorced,27,Houston,00:00.0,Active,12,15,2 Years,1 Year,Bachelor,Medium,Low,Good,Very High,Better,Potts,Female,97735,Other,2539
Public Relations,Group D,Part Time,Divorced,56,Los Angeles,00:00.0,Non Active,12,13,2 Years,1 Year,Bachelor,Medium,Low,Low,Very High,Better,Gilmore,Male,78431,Other,2580
Legal Department,Group C,Part Time,Single,33,Los Angeles,00:00.0,Non Active,2,18,2 Years,1 Year,Masters,High,Medium,Excellent,Low,Bad,Cline,Female,96859,Other,2591
Human Resources,Group C,Full Time,Divorced,40,New York City,00:00.0,Non Active,3,14,2 Years,1 Year,Masters,Low,Low,Good,Very High,Best,Barker,Female,70157,Other,2604
Public Relations,Group B,Part Time,Divorced,39,Los Angeles,00:00.0,Active,11,9,2 Years,1 Year,College,Low,Low,Excellent,High,Best,Wagner,Male,110792,Other,2609
Tech Support,Group A,Full Time,Single,55,Seattle,00:00.0,Non Active,9,14,2 Years,1 Year,College,Medium,High,Low,High,Bad,Garcia,Female,102493,Other,2627
Asset Management,Group C,Full Time,Divorced,60,New York City,00:00.0,Active,6,15,2 Years,1 Year,Doctor,High,Low,Good,High,Bad,Serrano,Male,81797,Other,2729
Legal Department,Group D,Part Time,Married,37,Los Angeles,00:00.0,Active,1,9,2 Years,1 Year,College,High,High,Outstanding,Medium,Best,Sykes,Female,111379,Other,2778
Accounting,Group A,Full Time,Single,30,Seattle,00:00.0,Non Active,2,16,2 Years,1 Year,Doctor,Very High,Very High,Good,Low,Best,Martin,Male,75066,Other,2866
Advertising,Group C,Part Time,Divorced,27,Seattle,00:00.0,Non Active,4,11,2 Years,1 Year,Bachelor,Very High,High,Low,High,Best,Riggs,Female,87888,Other,2892
Accounting,Group B,Part Time,Married,60,Houston,00:00.0,Non Active,12,11,2 Years,1 Year,Doctor,Medium,High,Good,High,Bad,Slater,Female,117484,Other,2908
Accounting,Group A,Part Time,Married,62,New York City,00:00.0,Active,2,7,2 Years,1 Year,Doctor,Medium,High,Good,Very High,Bad,Carver,Male,101095,Other,2954
Human Resources,Group B,Full Time,Single,25,New York City,00:00.0,Non Active,11,19,2 Years,1 Year,Doctor,High,Medium,Good,Low,Bad,Joyce,Female,115106,Other,2969
Research and Development,Group B,Full Time,Divorced,59,New York City,00:00.0,Non Active,10,13,2 Years,1 Year,Doctor,Low,Very High,Low,Very High,Better,Cobb,Female,89599,Other,2984
Human Resources,Group B,Part Time,Single,29,Los Angeles,00:00.0,Non Active,1,12,2 Years,1 Year,Bachelor,Very High,Medium,Outstanding,High,Good,Burton,Female,115451,Other,2993
Research and Development,Group B,Full Time,Single,28,Seattle,00:00.0,Active,4,20,2 Years,1 Year,Doctor,High,Low,Outstanding,Medium,Better,Bradford,Female,110263,Other,3003
Human Resources,Group C,Full Time,Divorced,57,Houston,00:00.0,Non Active,9,10,2 Years,1 Year,Bachelor,Low,Medium,Good,Very High,Better,Cortez,Female,71786,Other,3013
Finances,Group A,Part Time,Married,49,Houston,00:00.0,Active,3,14,2 Years,1 Year,Bachelor,Low,Medium,Excellent,High,Better,Hays,Female,102859,Other,3035
Finances,Group A,Part Time,Divorced,26,New York City,00:00.0,Active,12,13,2 Years,1 Year,Bachelor,High,Low,Outstanding,Medium,Best,Hart,Female,102186,Other,3048
Human Resources,Group D,Part Time,Married,33,Houston,00:00.0,Active,2,12,2 Years,1 Year,Doctor,Low,High,Excellent,Low,Good,Jennings,Male,70148,Other,3089
Quality Assurance,Group D,Full Time,Single,46,Los Angeles,00:00.0,Non Active,3,16,2 Years,1 Year,College,High,Low,Excellent,Very High,Bad,Greer,Male,114637,Other,3125
Asset Management,Group C,Part Time,Married,39,New York City,00:00.0,Active,9,19,2 Years,1 Year,Masters,Medium,Low,Outstanding,Low,Best,Mullins,Male,100009,Other,3172
Advertising,Group C,Part Time,Married,43,Seattle,00:00.0,Non Active,6,18,2 Years,1 Year,Masters,Medium,Very High,Low,High,Better,Simon,Male,71867,Other,3184
Customer Relations,Group D,Part Time,Divorced,58,Houston,00:00.0,Active,10,8,2 Years,1 Year,Doctor,Very High,Very High,Low,Low,Better,Davidson,Female,103353,Other,3201
Sales and Marketing,Group A,Part Time,Single,24,Houston,00:00.0,Non Active,7,9,2 Years,1 Year,College,Medium,Medium,Excellent,Low,Better,Johnson,Male,96860,Other,3245
Public Relations,Group B,Full Time,Divorced,26,Houston,00:00.0,Non Active,1,19,2 Years,1 Year,College,High,High,Low,Very High,Bad,Murray,Female,102792,Other,3247
Research and Development,Group D,Full Time,Married,61,Los Angeles,00:00.0,Non Active,11,16,2 Years,1 Year,Bachelor,Medium,Low,Outstanding,High,Better,Mcclain,Male,74626,Other,3290
Finances,Group C,Full Time,Divorced,30,Houston,00:00.0,Non Active,8,11,2 Years,1 Year,Masters,Low,High,Excellent,Very High,Bad,Levy,Female,98213,Other,3309
Human Resources,Group C,Full Time,Single,56,New York City,00:00.0,Non Active,8,13,2 Years,1 Year,Doctor,Low,Low,Outstanding,Low,Better,Sexton,Female,77184,Other,3320
Media Relations,Group C,Part Time,Divorced,26,Seattle,00:00.0,Active,7,17,2 Years,1 Year,College,Medium,High,Low,Very High,Better,Cooley,Male,102061,Other,3326
Asset Management,Group B,Part Time,Divorced,47,Houston,00:00.0,Non Active,11,17,2 Years,1 Year,Masters,High,Low,Excellent,High,Better,Ferrell,Male,92670,Other,3339
Accounting,Group B,Full Time,Single,43,New York City,00:00.0,Non Active,3,13,2 Years,1 Year,Masters,Very High,Very High,Outstanding,Medium,Bad,Hurley,Female,81814,Other,3349
Customer Service,Group B,Full Time,Single,63,Seattle,00:00.0,Active,9,20,2 Years,1 Year,Masters,Low,Low,Outstanding,Medium,Better,Lara,Female,84823,Other,3389
Customer Service,Group B,Full Time,Married,54,Los Angeles,00:00.0,Non Active,8,20,2 Years,1 Year,Bachelor,High,Medium,Good,High,Best,Mathews,Male,83001,Other,3430
Research and Development,Group C,Full Time,Married,43,Houston,00:00.0,Active,4,7,3 Years,1 Year,College,Low,Very High,Excellent,Very High,Best,Fernandez,Female,92831,White Collar,11
Customer Service,Group D,Full Time,Single,25,Seattle,00:00.0,Non Active,3,15,3 Years,1 Year,Doctor,Very High,Medium,Low,Low,Better,Calhoun,Male,92603,White Collar,29
Tech Support,Group A,Part Time,Married,63,Seattle,00:00.0,Non Active,12,18,3 Years,1 Year,College,High,High,Outstanding,High,Bad,Rowe,Male,84190,White Collar,32
Advertising,Group D,Full Time,Married,60,New York City,00:00.0,Active,9,7,3 Years,1 Year,Bachelor,Low,High,Good,High,Good,Briggs,Female,97756,White Collar,36
Finances,Group D,Full Time,Single,43,New York City,00:00.0,Non Active,10,10,3 Years,1 Year,Doctor,Low,Very High,Outstanding,Very High,Good,Barry,Male,103683,White Collar,116
Finances,Group A,Full Time,Single,50,New York City,00:00.0,Non Active,10,9,3 Years,1 Year,Masters,Medium,High,Good,High,Best,Ellison,Male,95443,White Collar,254
Payroll,Group D,Part Time,Married,65,Houston,00:00.0,Non Active,8,17,3 Years,1 Year,Doctor,Medium,Low,Outstanding,Very High,Bad,Cantrell,Male,73327,White Collar,267
Finances,Group C,Full Time,Married,65,Seattle,00:00.0,Non Active,2,13,3 Years,1 Year,Bachelor,Very High,Medium,Low,High,Better,Bolton,Female,112418,White Collar,278
Finances,Group A,Part Time,Married,27,Houston,00:00.0,Non Active,2,10,3 Years,1 Year,Bachelor,Low,Medium,Low,Very High,Bad,Mclean,Male,98418,White Collar,292
Advertising,Group A,Part Time,Divorced,55,Houston,00:00.0,Active,12,20,3 Years,1 Year,College,Very High,Very High,Excellent,Low,Good,Vincent,Female,93762,White Collar,295
Research and Development,Group D,Full Time,Divorced,37,Los Angeles,00:00.0,Active,5,11,3 Years,1 Year,Doctor,Low,Very High,Good,Very High,Good,Shannon,Female,116391,White Collar,298
Asset Management,Group B,Part Time,Single,47,New York City,00:00.0,Active,11,9,3 Years,1 Year,Bachelor,High,Medium,Excellent,Very High,Best,Gibson,Male,101378,White Collar,302
Customer Relations,Group D,Part Time,Single,27,Seattle,00:00.0,Non Active,9,17,3 Years,1 Year,Bachelor,Very High,Medium,Outstanding,Very High,Good,Alvarez,Male,113829,White Collar,308
Media Relations,Group B,Full Time,Married,29,Los Angeles,00:00.0,Active,7,7,3 Years,1 Year,Bachelor,Low,Very High,Good,Low,Best,Harrington,Female,114388,White Collar,330
Sales and Marketing,Group A,Full Time,Married,44,New York City,00:00.0,Non Active,2,18,3 Years,1 Year,Masters,Low,Very High,Outstanding,Low,Better,Calhoun,Male,76074,White Collar,340
Advertising,Group B,Part Time,Single,34,Houston,00:00.0,Active,12,11,3 Years,1 Year,Doctor,Very High,Medium,Low,Low,Better,Mccoy,Male,114155,White Collar,411
Customer Service,Group A,Full Time,Single,24,Seattle,00:00.0,Non Active,2,7,3 Years,1 Year,Bachelor,Low,High,Excellent,Medium,Best,Irwin,Female,117042,White Collar,459
Public Relations,Group A,Part Time,Single,52,Houston,00:00.0,Active,12,13,3 Years,1 Year,Bachelor,Medium,Medium,Good,Medium,Bad,Woods,Female,76175,White Collar,496
Research and Development,Group B,Full Time,Married,37,Houston,00:00.0,Active,1,18,3 Years,1 Year,College,Very High,Very High,Excellent,Medium,Bad,Whitehead,Female,100120,White Collar,568
Legal Department,Group A,Part Time,Married,43,Seattle,00:00.0,Active,3,18,3 Years,1 Year,Masters,Medium,High,Good,Low,Good,Wall,Female,75574,White Collar,582
Payroll,Group D,Part Time,Single,62,New York City,00:00.0,Non Active,10,10,3 Years,1 Year,Bachelor,Low,Medium,Good,Very High,Best,Campos,Female,105137,White Collar,604
Advertising,Group C,Part Time,Divorced,29,Houston,00:00.0,Active,8,11,3 Years,1 Year,Bachelor,Low,Medium,Outstanding,High,Best,Melendez,Male,119341,White Collar,652
Customer Relations,Group B,Full Time,Single,50,Houston,00:00.0,Active,5,12,3 Years,1 Year,Doctor,Very High,High,Good,Low,Good,Hewitt,Female,117973,White Collar,656
Sales and Marketing,Group D,Part Time,Married,38,Los Angeles,00:00.0,Active,11,15,3 Years,1 Year,College,Very High,Medium,Outstanding,Very High,Good,Frank,Male,114234,White Collar,708
Media Relations,Group D,Full Time,Married,53,Los Angeles,00:00.0,Non Active,6,13,3 Years,1 Year,Bachelor,Very High,Very High,Outstanding,Very High,Better,Bowen,Female,107662,White Collar,743
Advertising,Group D,Full Time,Married,39,Seattle,00:00.0,Active,7,13,3 Years,1 Year,Doctor,Medium,Very High,Good,High,Good,Velasquez,Male,105614,White Collar,751
Accounting,Group C,Full Time,Married,57,New York City,00:00.0,Active,2,6,3 Years,1 Year,Doctor,High,Low,Good,High,Good,Shields,Female,109659,White Collar,785
Advertising,Group D,Full Time,Divorced,61,Seattle,00:00.0,Non Active,12,8,3 Years,1 Year,Bachelor,Low,Medium,Outstanding,High,Bad,Preston,Female,96556,White Collar,806
Payroll,Group A,Full Time,Single,39,Los Angeles,00:00.0,Active,10,5,3 Years,1 Year,Masters,High,Very High,Excellent,Very High,Good,Howard,Male,79978,White Collar,841
Payroll,Group A,Part Time,Divorced,59,New York City,00:00.0,Non Active,8,12,3 Years,1 Year,Doctor,Very High,Low,Good,Very High,Better,Webb,Female,85473,White Collar,855
Tech Support,Group A,Part Time,Married,39,New York City,00:00.0,Non Active,3,17,3 Years,1 Year,College,High,Very High,Excellent,Medium,Bad,Mccall,Male,103721,White Collar,887
Payroll,Group C,Full Time,Divorced,33,Los Angeles,00:00.0,Non Active,2,19,3 Years,1 Year,College,Low,Very High,Low,Low,Better,Vincent,Female,72919,White Collar,974
Public Relations,Group B,Part Time,Married,59,Seattle,00:00.0,Non Active,7,11,3 Years,1 Year,Masters,Very High,High,Good,Low,Good,Kline,Female,115718,White Collar,988
Advertising,Group B,Full Time,Single,43,Seattle,00:00.0,Active,2,14,3 Years,1 Year,Doctor,Low,Medium,Good,Low,Good,Barrett,Female,106676,White Collar,999
Legal Department,Group C,Part Time,Divorced,48,Seattle,00:00.0,Active,12,10,3 Years,1 Year,Bachelor,Low,Low,Low,High,Good,Collins,Male,117932,White Collar,1032
Finances,Group C,Part Time,Married,65,New York City,00:00.0,Non Active,4,7,3 Years,1 Year,Masters,Low,High,Outstanding,Very High,Best,Lawrence,Female,90465,White Collar,1140
Media Relations,Group B,Part Time,Divorced,57,New York City,00:00.0,Active,7,14,3 Years,1 Year,Bachelor,Very High,Very High,Good,Very High,Bad,Parker,Female,76520,White Collar,1232
Research and Development,Group D,Full Time,Single,57,New York City,00:00.0,Non Active,3,14,3 Years,1 Year,Masters,Low,High,Outstanding,Very High,Good,Cooke,Male,118544,White Collar,1288
Public Relations,Group C,Part Time,Divorced,26,New York City,00:00.0,Non Active,12,5,3 Years,1 Year,Doctor,Very High,Very High,Good,Low,Good,Butler,Male,119852,White Collar,1309
Finances,Group B,Part Time,Single,55,Houston,00:00.0,Active,11,19,3 Years,1 Year,Bachelor,Very High,High,Good,Very High,Better,Sellers,Male,113146,White Collar,1366
Research and Development,Group A,Part Time,Married,30,New York City,00:00.0,Active,6,11,3 Years,1 Year,Bachelor,High,Medium,Low,Very High,Better,Gonzalez,Female,98082,White Collar,1425
Finances,Group A,Full Time,Divorced,63,Los Angeles,00:00.0,Non Active,11,20,3 Years,1 Year,Bachelor,Low,Low,Low,Very High,Better,Leach,Male,100980,White Collar,1437
Legal Department,Group C,Full Time,Single,34,New York City,00:00.0,Non Active,11,18,3 Years,1 Year,College,Very High,Medium,Low,Low,Good,Moss,Male,118176,White Collar,1442
Human Resources,Group B,Part Time,Single,34,Seattle,00:00.0,Non Active,5,11,3 Years,1 Year,College,Low,Very High,Low,High,Best,Goff,Female,78376,White Collar,1445
Finances,Group A,Part Time,Single,41,Houston,00:00.0,Active,12,20,3 Years,1 Year,Bachelor,Medium,Low,Good,Low,Better,Marquez,Female,100409,White Collar,1456
Sales and Marketing,Group D,Part Time,Single,26,Los Angeles,00:00.0,Non Active,9,20,3 Years,1 Year,College,Medium,Low,Outstanding,Low,Best,Hodge,Female,101007,White Collar,1475
Finances,Group A,Part Time,Married,39,Los Angeles,00:00.0,Non Active,11,14,3 Years,1 Year,Masters,Low,Medium,Outstanding,High,Best,Simpson,Male,81793,White Collar,1538
Media Relations,Group D,Full Time,Divorced,34,Houston,00:00.0,Active,7,8,3 Years,1 Year,Doctor,Medium,Very High,Excellent,Medium,Good,Nieves,Male,109653,White Collar,1543
Public Relations,Group D,Part Time,Married,50,New York City,00:00.0,Active,5,9,3 Years,1 Year,Masters,High,Low,Good,Low,Good,Hayden,Male,114954,White Collar,1557
Public Relations,Group A,Full Time,Divorced,42,New York City,00:00.0,Non Active,6,6,3 Years,1 Year,Doctor,Very High,High,Outstanding,Low,Better,Bruce,Male,93618,White Collar,1560
Finances,Group C,Part Time,Single,26,Los Angeles,00:00.0,Active,6,19,3 Years,1 Year,Masters,Medium,Low,Good,Low,Good,Duncan,Male,109551,White Collar,1570
Payroll,Group C,Full Time,Married,45,Seattle,00:00.0,Active,5,13,3 Years,1 Year,College,High,Medium,Good,Medium,Better,Sears,Male,91195,White Collar,1594
Public Relations,Group C,Part Time,Divorced,63,Houston,00:00.0,Non Active,10,10,3 Years,1 Year,Bachelor,Medium,Very High,Low,Very High,Bad,Robertson,Female,102906,White Collar,1597
Customer Service,Group C,Part Time,Married,41,Los Angeles,00:00.0,Active,10,7,3 Years,1 Year,Doctor,Medium,Very High,Excellent,Low,Good,Dalton,Male,117181,White Collar,1621
Human Resources,Group C,Full Time,Married,43,Houston,00:00.0,Active,6,18,3 Years,1 Year,Doctor,High,Low,Good,Very High,Good,Deleon,Female,101453,White Collar,1632
Asset Management,Group B,Part Time,Divorced,50,New York City,00:00.0,Non Active,2,8,3 Years,1 Year,Doctor,Medium,High,Low,Very High,Best,Burch,Male,74970,White Collar,1637
Advertising,Group B,Full Time,Married,44,New York City,00:00.0,Non Active,8,14,3 Years,1 Year,Doctor,Low,Low,Outstanding,Very High,Good,Todd,Male,105970,White Collar,1693
Legal Department,Group D,Part Time,Single,50,Houston,00:00.0,Non Active,8,13,3 Years,1 Year,Masters,Very High,High,Low,Medium,Good,Wright,Female,73340,White Collar,1698
Media Relations,Group A,Part Time,Married,65,Houston,00:00.0,Non Active,2,9,3 Years,1 Year,Doctor,High,High,Low,Medium,Bad,Whitaker,Male,104755,White Collar,1721
Customer Service,Group C,Full Time,Single,34,Los Angeles,00:00.0,Non Active,8,20,3 Years,1 Year,College,Low,Very High,Excellent,Medium,Bad,Hunt,Male,89986,White Collar,1740
Customer Service,Group B,Full Time,Divorced,59,New York City,00:00.0,Non Active,7,17,3 Years,1 Year,Bachelor,Medium,High,Excellent,Medium,Best,Mercer,Male,112052,White Collar,1767
Finances,Group D,Full Time,Married,34,Houston,00:00.0,Active,3,20,3 Years,1 Year,Doctor,Low,Low,Low,Very High,Best,Rice,Male,113944,White Collar,1855
Customer Relations,Group C,Full Time,Divorced,54,Los Angeles,00:00.0,Non Active,6,5,3 Years,1 Year,Masters,Medium,High,Excellent,High,Good,Chandler,Male,102982,White Collar,1901
Sales and Marketing,Group C,Part Time,Married,61,Seattle,00:00.0,Non Active,7,18,3 Years,1 Year,College,Medium,Very High,Low,Medium,Good,Tanner,Female,91928,White Collar,1912
Payroll,Group B,Full Time,Married,40,Houston,00:00.0,Active,3,6,3 Years,1 Year,Doctor,Very High,Medium,Good,Low,Good,Bailey,Male,116043,White Collar,1954
Accounting,Group A,Part Time,Single,34,Seattle,00:00.0,Non Active,3,10,3 Years,1 Year,College,Medium,Low,Outstanding,High,Best,Goff,Female,114572,White Collar,1991
Tech Support,Group C,Part Time,Divorced,57,New York City,00:00.0,Active,2,18,3 Years,1 Year,Bachelor,Medium,High,Excellent,Medium,Better,Blackburn,Female,84676,White Collar,2010
Media Relations,Group D,Part Time,Single,65,Los Angeles,00:00.0,Active,3,12,3 Years,1 Year,Doctor,High,Very High,Good,Very High,Bad,Kemp,Male,77748,White Collar,2021
Quality Assurance,Group A,Full Time,Single,53,New York City,00:00.0,Non Active,6,5,3 Years,1 Year,Masters,Medium,Medium,Low,Low,Best,Wade,Male,98763,White Collar,2024
Sales and Marketing,Group B,Part Time,Single,58,Los Angeles,00:00.0,Non Active,1,9,3 Years,1 Year,Masters,Low,High,Excellent,Low,Good,Mckinney,Male,83779,White Collar,2057
Payroll,Group B,Part Time,Single,59,Seattle,00:00.0,Non Active,11,12,3 Years,1 Year,Doctor,Medium,Very High,Excellent,Very High,Bad,Romero,Male,113564,White Collar,2064
Advertising,Group B,Full Time,Divorced,26,Seattle,00:00.0,Active,10,5,3 Years,1 Year,Bachelor,Very High,High,Outstanding,Very High,Good,Morin,Male,76324,White Collar,2110
Finances,Group C,Full Time,Single,59,Houston,00:00.0,Active,5,19,3 Years,1 Year,College,High,Low,Low,High,Better,Alvarado,Female,115594,White Collar,2111
Asset Management,Group B,Part Time,Single,25,New York City,00:00.0,Active,4,10,3 Years,1 Year,Doctor,High,Very High,Low,Very High,Bad,Sharp,Male,95330,White Collar,2120
Payroll,Group B,Part Time,Divorced,65,New York City,00:00.0,Active,8,11,3 Years,1 Year,Masters,High,High,Low,Medium,Best,Lewis,Female,109313,White Collar,2122
Media Relations,Group A,Full Time,Married,30,Seattle,00:00.0,Non Active,5,13,3 Years,1 Year,Bachelor,High,High,Good,Very High,Bad,Bray,Female,119270,White Collar,2126
Research and Development,Group D,Part Time,Single,43,Seattle,00:00.0,Active,1,7,3 Years,1 Year,Doctor,High,High,Low,Very High,Bad,Flores,Female,116724,White Collar,2160
Asset Management,Group A,Full Time,Married,64,New York City,00:00.0,Active,4,11,3 Years,1 Year,Masters,Medium,High,Low,Low,Better,Park,Male,95408,White Collar,2256
Human Resources,Group A,Full Time,Divorced,34,Los Angeles,00:00.0,Active,5,12,3 Years,1 Year,Masters,Medium,Medium,Outstanding,Medium,Good,Chambers,Female,117736,White Collar,2258
Payroll,Group C,Full Time,Divorced,24,New York City,00:00.0,Non Active,10,13,3 Years,1 Year,Masters,Low,High,Good,Medium,Good,Mccarty,Male,101091,White Collar,2261
Advertising,Group D,Full Time,Divorced,59,Los Angeles,00:00.0,Active,8,12,3 Years,1 Year,Doctor,High,Low,Low,Low,Good,Rodgers,Male,71276,White Collar,2322
Customer Service,Group D,Part Time,Married,64,New York City,00:00.0,Non Active,6,11,3 Years,1 Year,College,Very High,Low,Excellent,Very High,Good,Serrano,Female,115941,White Collar,2334
Public Relations,Group A,Part Time,Married,52,Los Angeles,00:00.0,Non Active,6,15,3 Years,1 Year,Doctor,Low,Low,Low,Low,Better,Frost,Female,107513,White Collar,2336
Legal Department,Group C,Part Time,Single,52,New York City,00:00.0,Active,7,12,3 Years,1 Year,Doctor,High,Medium,Excellent,Very High,Best,Welch,Female,86719,White Collar,2349
Research and Development,Group A,Full Time,Divorced,58,New York City,00:00.0,Non Active,1,16,3 Years,1 Year,College,High,Medium,Outstanding,Very High,Better,Holman,Male,88879,White Collar,2355
Customer Service,Group C,Full Time,Single,45,New York City,00:00.0,Non Active,5,19,3 Years,1 Year,Masters,High,Medium,Good,Very High,Good,Rush,Male,80286,White Collar,2380
